time,Vrain,Vgate,-IR1,IM1
1.642654196818457e-07,7.700857e-02,4.889510e+00,-4.390587e-02,3.225428e-01
1.652654196818454e-07,7.921128e-02,4.855905e+00,-4.357062e-02,3.225471e-01
1.662654196818450e-07,8.156064e-02,4.822689e+00,-4.323877e-02,3.225511e-01
1.672654196818447e-07,8.407128e-02,4.789873e+00,-4.291041e-02,3.225548e-01
1.682654196818443e-07,8.675977e-02,4.757466e+00,-4.258566e-02,3.225582e-01
1.692654196818440e-07,8.964494e-02,4.725482e+00,-4.226460e-02,3.225612e-01
1.702654196818436e-07,9.274824e-02,4.693934e+00,-4.194740e-02,3.225637e-01
1.712654196818433e-07,9.609422e-02,4.662839e+00,-4.163419e-02,3.225657e-01
1.722654196818429e-07,9.971104e-02,4.632217e+00,-4.132514e-02,3.225671e-01
1.732654196818426e-07,1.036311e-01,4.602091e+00,-4.102049e-02,3.225679e-01
1.742654196818422e-07,1.078919e-01,4.572488e+00,-4.072046e-02,3.225678e-01
1.752654196818419e-07,1.125369e-01,4.543438e+00,-4.042533e-02,3.225668e-01
1.762654196818415e-07,1.176166e-01,4.514979e+00,-4.013545e-02,3.225648e-01
1.772654196818412e-07,1.231899e-01,4.487155e+00,-3.985119e-02,3.225615e-01
1.782654196818408e-07,1.293260e-01,4.460017e+00,-3.957303e-02,3.225568e-01
1.792654196818405e-07,1.361058e-01,4.433625e+00,-3.930150e-02,3.225504e-01
1.802654196818402e-07,1.436251e-01,4.408053e+00,-3.903726e-02,3.225420e-01
1.812654196818398e-07,1.519965e-01,4.383385e+00,-3.878105e-02,3.225312e-01
1.822654196818395e-07,1.613536e-01,4.359723e+00,-3.853379e-02,3.225175e-01
1.832654196818391e-07,1.718544e-01,4.337188e+00,-3.829655e-02,3.225006e-01
1.842654196818388e-07,1.836867e-01,4.315925e+00,-3.807061e-02,3.224798e-01
1.852654196818384e-07,1.970728e-01,4.296104e+00,-3.785748e-02,3.224543e-01
1.862654196818381e-07,2.122762e-01,4.277928e+00,-3.765895e-02,3.224232e-01
1.872654196818377e-07,2.296074e-01,4.261639e+00,-3.747714e-02,3.223857e-01
1.882654196818374e-07,2.494296e-01,4.247516e+00,-3.731452e-02,3.223407e-01
1.892654196818370e-07,2.721618e-01,4.235884e+00,-3.717392e-02,3.222870e-01
1.902654196818367e-07,2.982773e-01,4.227108e+00,-3.705849e-02,3.222236e-01
1.912654196818363e-07,3.282488e-01,4.221549e+00,-3.697134e-02,3.221515e-01
1.922654196818360e-07,3.619601e-01,4.219077e+00,-3.691084e-02,3.220921e-01
1.932654196818356e-07,3.980817e-01,4.218579e+00,-3.686637e-02,3.220702e-01
1.942654196818353e-07,4.349722e-01,4.218726e+00,-3.682593e-02,3.220730e-01
1.952654196818349e-07,4.718924e-01,4.218930e+00,-3.678486e-02,3.220790e-01
1.962654196818346e-07,5.087612e-01,4.219128e+00,-3.674315e-02,3.220845e-01
1.972654196818342e-07,5.455846e-01,4.219324e+00,-3.670106e-02,3.220900e-01
1.982654196818339e-07,5.823621e-01,4.219517e+00,-3.665863e-02,3.220952e-01
1.992654196818335e-07,6.190937e-01,4.219708e+00,-3.661588e-02,3.221003e-01
2.012654196818328e-07,6.924189e-01,4.220084e+00,-3.652941e-02,3.221099e-01
2.034082768246892e-07,7.707828e-01,4.220474e+00,-3.643597e-02,3.221194e-01
2.055511339675456e-07,8.489298e-01,4.220864e+00,-3.634012e-02,3.221282e-01
2.076939911104020e-07,9.268601e-01,4.221254e+00,-3.624185e-02,3.221363e-01
2.098368482532584e-07,1.004574e+00,4.221643e+00,-3.614117e-02,3.221436e-01
2.119797053961148e-07,1.082070e+00,4.222032e+00,-3.603807e-02,3.221502e-01
2.141225625389712e-07,1.159350e+00,4.222420e+00,-3.593257e-02,3.221560e-01
2.162654196818276e-07,1.236413e+00,4.222808e+00,-3.582465e-02,3.221611e-01
2.192654196818266e-07,1.343906e+00,4.223376e+00,-3.566507e-02,3.221671e-01
2.212654196818259e-07,1.415310e+00,4.223770e+00,-3.555266e-02,3.221704e-01
2.232654196818252e-07,1.486498e+00,4.224184e+00,-3.543378e-02,3.221731e-01
2.242654196818248e-07,1.522009e+00,4.224401e+00,-3.537125e-02,3.221742e-01
2.252654196818245e-07,1.557461e+00,4.224625e+00,-3.530664e-02,3.221753e-01
2.262654196818241e-07,1.592854e+00,4.224852e+00,-3.524075e-02,3.221762e-01
2.272654196818238e-07,1.628185e+00,4.225080e+00,-3.517458e-02,3.221769e-01
2.282654196818234e-07,1.663455e+00,4.225306e+00,-3.510885e-02,3.221775e-01
2.292654196818231e-07,1.698665e+00,4.225527e+00,-3.504400e-02,3.221779e-01
2.302654196818227e-07,1.733814e+00,4.225742e+00,-3.498032e-02,3.221782e-01
2.312654196818224e-07,1.768906e+00,4.225952e+00,-3.491803e-02,3.221782e-01
2.322654196818220e-07,1.803941e+00,4.226155e+00,-3.485727e-02,3.221780e-01
2.332654196818217e-07,1.838923e+00,4.226351e+00,-3.479816e-02,3.221777e-01
2.342654196818213e-07,1.873852e+00,4.226539e+00,-3.474079e-02,3.221771e-01
2.352654196818210e-07,1.908731e+00,4.226720e+00,-3.468518e-02,3.221763e-01
2.362654196818206e-07,1.943564e+00,4.226893e+00,-3.463139e-02,3.221754e-01
2.372654196818203e-07,1.978352e+00,4.227059e+00,-3.457940e-02,3.221742e-01
2.382654196818199e-07,2.013098e+00,4.227217e+00,-3.452924e-02,3.221728e-01
2.392654196818196e-07,2.047804e+00,4.227367e+00,-3.448088e-02,3.221712e-01
2.402654196818192e-07,2.082474e+00,4.227510e+00,-3.443430e-02,3.221695e-01
2.422654196818186e-07,2.151715e+00,4.227774e+00,-3.434637e-02,3.221652e-01
