time,Vrain,Vgate,-IR1,IM1
6.359835847579437e-08,3.816710e+01,4.466588e+00,9.495018e-02,1.444399e-02
6.459835847579436e-08,3.781392e+01,4.466848e+00,9.495216e-02,1.430723e-02
6.559835847579436e-08,3.746087e+01,4.467116e+00,9.495363e-02,1.417926e-02
6.659835847579435e-08,3.710795e+01,4.467391e+00,9.495465e-02,1.405977e-02
6.759835847579435e-08,3.675517e+01,4.467674e+00,9.495527e-02,1.394818e-02
6.859835847579435e-08,3.640253e+01,4.467965e+00,9.495550e-02,1.384425e-02
6.959835847579434e-08,3.605003e+01,4.468262e+00,9.495540e-02,1.374749e-02
7.159835847579433e-08,3.534547e+01,4.468876e+00,9.495427e-02,1.357444e-02
7.359835847579432e-08,3.464153e+01,4.469517e+00,9.495209e-02,1.342668e-02
7.559835847579432e-08,3.393822e+01,4.470183e+00,9.494901e-02,1.330219e-02
7.759835847579431e-08,3.323558e+01,4.470875e+00,9.494517e-02,1.319924e-02
7.959835847579430e-08,3.253365e+01,4.471591e+00,9.494066e-02,1.311630e-02
8.259835847579429e-08,3.148214e+01,4.472710e+00,9.493285e-02,1.302658e-02
8.559835847579427e-08,3.043240e+01,4.473880e+00,9.492396e-02,1.297506e-02
8.859835847579426e-08,2.938456e+01,4.475101e+00,9.491417e-02,1.295860e-02
9.102692990436567e-08,2.853753e+01,4.476127e+00,9.490560e-02,1.297144e-02
9.345550133293710e-08,2.769217e+01,4.477184e+00,9.489663e-02,1.300168e-02
9.588407276150852e-08,2.684849e+01,4.478274e+00,9.488727e-02,1.304932e-02
9.831264419007993e-08,2.600649e+01,4.479396e+00,9.487751e-02,1.311436e-02
1.007412156186514e-07,2.516615e+01,4.480549e+00,9.486735e-02,1.319679e-02
1.031697870472228e-07,2.432749e+01,4.481735e+00,9.485680e-02,1.329662e-02
1.055983584757942e-07,2.349051e+01,4.482953e+00,9.484585e-02,1.341384e-02
1.091697870472227e-07,2.226167e+01,4.484804e+00,9.482918e-02,1.361473e-02
1.127412156186513e-07,2.104012e+01,4.486721e+00,9.481183e-02,1.383932e-02
1.163126441900799e-07,1.982586e+01,4.488704e+00,9.479382e-02,1.408761e-02
1.198840727615084e-07,1.861889e+01,4.490754e+00,9.477514e-02,1.435959e-02
1.234555013329370e-07,1.741920e+01,4.492869e+00,9.475579e-02,1.465527e-02
1.270269299043655e-07,1.622680e+01,4.495050e+00,9.473577e-02,1.497465e-02
1.305983584757941e-07,1.504169e+01,4.497297e+00,9.471509e-02,1.531773e-02
1.323126441900798e-07,1.447745e+01,4.498399e+00,9.470494e-02,1.548641e-02
1.340269299043655e-07,1.391715e+01,4.499503e+00,9.469472e-02,1.565629e-02
1.357412156186512e-07,1.336079e+01,4.500609e+00,9.468444e-02,1.582736e-02
1.374555013329369e-07,1.280837e+01,4.501716e+00,9.467408e-02,1.599963e-02
1.391697870472226e-07,1.225989e+01,4.502826e+00,9.466365e-02,1.617309e-02
1.408840727615084e-07,1.171535e+01,4.503937e+00,9.465315e-02,1.634775e-02
1.425983584757940e-07,1.117476e+01,4.505050e+00,9.464259e-02,1.652360e-02
1.445983584757940e-07,1.055249e+01,4.506314e+00,9.463041e-02,1.672382e-02
1.465983584757940e-07,9.939096e+00,4.507537e+00,9.461841e-02,1.691895e-02
1.475983584757940e-07,9.636158e+00,4.508126e+00,9.461252e-02,1.701371e-02
1.485983584757940e-07,9.335993e+00,4.508697e+00,9.460673e-02,1.710607e-02
1.495983584757940e-07,9.038832e+00,4.509243e+00,9.460106e-02,1.719550e-02
1.505983584757940e-07,8.744930e+00,4.509761e+00,9.459555e-02,1.728149e-02
1.515983584757940e-07,8.454575e+00,4.510245e+00,9.459023e-02,1.736340e-02
1.525983584757940e-07,8.168081e+00,4.510688e+00,9.458516e-02,1.744056e-02
1.535983584757940e-07,7.885809e+00,4.511082e+00,9.458036e-02,1.751217e-02
1.545983584757940e-07,7.608154e+00,4.511419e+00,9.457590e-02,1.757741e-02
1.555983584757940e-07,7.335559e+00,4.511688e+00,9.457184e-02,1.763533e-02
1.565983584757940e-07,7.068518e+00,4.511877e+00,9.456827e-02,1.768495e-02
1.575983584757940e-07,6.807575e+00,4.511973e+00,9.456524e-02,1.772523e-02
1.585983584757940e-07,6.553329e+00,4.511963e+00,9.456287e-02,1.775519e-02
1.595983584757940e-07,6.306425e+00,4.511832e+00,9.456125e-02,1.777391e-02
1.615983584757940e-07,5.837424e+00,4.511153e+00,9.456065e-02,1.777554e-02
1.625983584757940e-07,5.616742e+00,4.510585e+00,9.456185e-02,1.775878e-02
